CP;Commune;Tarif / PAX;PAX2;PAX3;PAXChild;PAXBB;APAX;APAX2;APAX3;APAXChild;APAXBB;Agglomération
51150;Aigny;22;22;22;22;0;19;19;19;19;0;2
51150;Aulnay-sur-Marne;22;22;22;22;0;19;19;19;19;0;2
51320;Bussy-Lettrée;22;22;22;22;0;19;19;19;19;0;2
51000;Châlons-en-Champagne;22;22;22;22;0;19;19;19;19;0;2
51150;Champigneul-Champagne;22;22;22;22;0;19;19;19;19;0;2
51510;Cheniers;22;22;22;22;0;19;19;19;19;0;2
51150;Cherville;22;22;22;22;0;19;19;19;19;0;2
51510;Compertrix;22;22;22;22;0;19;19;19;19;0;2
51150;Condé-sur-Marne;22;22;22;22;0;19;19;19;19;0;2
51510;Coolus;22;22;22;22;0;19;19;19;19;0;2
51320;Dommartin-Lettrée;22;22;22;22;0;19;19;19;19;0;2
51460;L'Épine;22;22;22;22;0;19;19;19;19;0;2
51510;Fagnières;22;22;22;22;0;19;19;19;19;0;2
51320;Haussimont;22;22;22;22;0;19;19;19;19;0;2
51150;Jâlons;22;22;22;22;0;19;19;19;19;0;2
51150;Juvigny;22;22;22;22;0;19;19;19;19;0;2
51230;Lenharrée;22;22;22;22;0;19;19;19;19;0;2
51510;Matougues;22;22;22;22;0;19;19;19;19;0;2
51470;Moncetz-Longevas;22;22;22;22;0;19;19;19;19;0;2
51320;Montépreux;22;22;22;22;0;19;19;19;19;0;2
51520;Recy;22;22;22;22;0;19;19;19;19;0;2
51460;Saint-Étienne-au-Temple;22;22;22;22;0;19;19;19;19;0;2
51510;Saint-Gibrien;22;22;22;22;0;19;19;19;19;0;2
51520;Saint-Martin-sur-le-Pré;22;22;22;22;0;19;19;19;19;0;2
51470;Saint-Memmie;22;22;22;22;0;19;19;19;19;0;2
51510;Saint-Pierre;22;22;22;22;0;19;19;19;19;0;2
51520;Sarry;22;22;22;22;0;19;19;19;19;0;2
51320;Sommesous;22;22;22;22;0;19;19;19;19;0;2
51320;Soudé;22;22;22;22;0;19;19;19;19;0;2
51320;Soudron;22;22;22;22;0;19;19;19;19;0;2
51510;Thibie;22;22;22;22;0;19;19;19;19;0;2
51320;Vassimont-et-Chapelaine;22;22;22;22;0;19;19;19;19;0;2
51320;Vatry;22;22;22;22;0;19;19;19;19;0;2
51520;La Veuve;22;22;22;22;0;19;19;19;19;0;2
51510;Villers-le-Château;22;22;22;22;0;19;19;19;19;0;2
51150;Vraux;22;22;22;22;0;19;19;19;19;0;2
51450;Bétheny;35;35;35;35;0;32;32;32;32;0;3
51430;Bezannes;35;35;35;35;0;32;32;32;32;0;3
51420;Cernay-lès-Reims;35;35;35;35;0;32;32;32;32;0;3
51500;Champfleury;35;35;35;35;0;32;32;32;32;0;3
51370;Champigny;35;35;35;35;0;32;32;32;32;0;3
51350;Cormontreuil;35;35;35;35;0;32;32;32;32;0;3
51360;Prunay;35;35;35;35;0;32;32;32;32;0;3
51500;Puisieulx;35;35;35;35;0;32;32;32;32;0;3
51100;Reims;35;35;35;35;0;32;32;32;32;0;3
51370;Saint-Brice-Courcelles;35;35;35;35;0;32;32;32;32;0;3
51500;Saint-Léonard;35;35;35;35;0;32;32;32;32;0;3
51500;Sillery;35;35;35;35;0;32;32;32;32;0;3
51500;Taissy;35;35;35;35;0;32;32;32;32;0;3
51430;Tinqueux;35;35;35;35;0;32;32;32;32;0;3
51500;Trois-Puits;35;35;35;35;0;32;32;32;32;0;3
51500;Villers-aux-Nœuds;35;35;35;35;0;32;32;32;32;0;3
51190;Avize;35;35;35;35;0;32;32;32;32;0;15
51530;Brugny-Vaudancourt;35;35;35;35;0;32;32;32;32;0;15
51530;Chavot-Courcourt;35;35;35;35;0;32;32;32;32;0;15
51530;Chouilly;35;35;35;35;0;32;32;32;32;0;15
51530;Cramant;35;35;35;35;0;32;32;32;32;0;15
51530;Cuis;35;35;35;35;0;32;32;32;32;0;15
51480;Cumières;35;35;35;35;0;32;32;32;32;0;15
51200;Épernay;35;35;35;35;0;32;32;32;32;0;15
51190;Flavigny;35;35;35;35;0;32;32;32;32;0;15
51190;Grauves;35;35;35;35;0;32;32;32;32;0;15
51190;Les Istres-et-Bury;35;35;35;35;0;32;32;32;32;0;15
51530;Magenta;35;35;35;35;0;32;32;32;32;0;15
51530;Mancy;35;35;35;35;0;32;32;32;32;0;15
51530;Mardeuil;35;35;35;35;0;32;32;32;32;0;15
51530;Monthelon;35;35;35;35;0;32;32;32;32;0;15
51530;Morangis;35;35;35;35;0;32;32;32;32;0;15
51530;Moussy;35;35;35;35;0;32;32;32;32;0;15
51530;Oiry;35;35;35;35;0;32;32;32;32;0;15
51530;Pierry;35;35;35;35;0;32;32;32;32;0;15
51150;Plivot;35;35;35;35;0;32;32;32;32;0;15
51530;Vinay;35;35;35;35;0;32;32;32;32;0;15